Москва,Moscow,12561175,495
Санкт-Петербург,St.Petersburg,5383890,812
Новосибирск,Novosibirsk,1618039,383
Екатеринбург,Yekaterinburg,1483119,343
Нижний Новгород,Nizhny Novgorod,1253511,8312
Казань,Kazan,1251969,8432
Челябинск,Chelyabinsk,1200719,351
Омск,Omsk,1164815,3812
Самара,Samara,1156608,846
Ростов-на-Дону,Rostov-on-Don,1133307,863
Уфа,Ufa,1124226,3472
Красноярск,Krasnoyarsk,1095286,3912
Воронеж,Voronezh,1054111,4732
Пермь,Perm,1053934,3422
Волгоград,Volgograd,1013468,4732
